mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin
1	0	0	0	0.0		0	1/2	Dynamic	3/4	1	1	0					p				
1	0	0	0	0.5		0	1/2	Chord	3/4	1	1	1/8		1/8	1	0		articStaccatoAbove			
1	0	1/2	1/2	0.25		1/8	5/8	Chord	3/4	1	1	1/16		1/16	1	1				0	
1	0	3/4	3/4	0.25		3/16	11/16	Chord	3/4	1	1	1/16		1/16	1	2				0	
2	1	1	1	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	3					
2	1	3	3	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	4		articStaccatoAbove			
2	1	7/2	7/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	5				1	
2	1	15/4	15/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	6				1	
2	1	1	1	0.0		0	0	Dynamic	3/4	2	1	0					p				
2	1	3/2	3/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	7				2	
2	1	7/4	7/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	8				2	
2	1	2	2	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	9		articStaccatoBelow			
2	1	2	2	0.0		1/4	1/4	Dynamic	3/4	3	1	0					p				
2	1	2	2	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	10		articStaccatoBelow			
2	1	2	2	0.0		1/4	1/4	Dynamic	3/4	4	1	0					p				
2	1	2	2	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	11		articStaccatoBelow			
3	2	4	4	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	12					
3	2	6	6	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	13		articStaccatoBelow			
3	2	13/2	13/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	14				3	
3	2	27/4	27/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	15					
3	2	9/2	9/2	0.25		1/8	1/8	Chord	3/4	2	1	1/16		1/16	1	16				4	
3	2	19/4	19/4	0.25		3/16	3/16	Chord	3/4	2	1	1/16		1/16	1	17				4	
3	2	5	5	0.5		1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	18		articStaccatoAbove			
3	2	5	5	1.0		1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	19		articStaccatoAbove			
3	2	5	5	1.0		1/4	1/4	Chord	3/4	4	1	1/4		1/4	1	20		articStaccatoAbove			
4	3	7	7	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	21		articStaccatoBelow			
4	3	15/2	15/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	22				5	
4	3	31/4	31/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	23					
4	3	8	8	0.5		1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	24		articStaccatoBelow			
4	3	17/2	17/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	25				6	
4	3	35/4	35/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	26					
4	3	9	9	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	27		articStaccatoAbove			
4	3	19/2	19/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	28				7	
4	3	39/4	39/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	29					
4	3	8	8	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	30		articStaccatoAbove			
