mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	Trill:trill	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0		0	0	Tempo	2/4	1	1	0								No4.Andantemanontroppoemoltocantabile	80.0	1.0				
1	0	1/2	1/2	0.0		1/8	1/8	Dynamic	2/4	1	1	0					p									
1	0	1/2	1/2	1.0		1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	0							0			
1	0	3/2	3/2	0.0		3/8	3/8	StaffText	2/4	1	1	0							"<font size=""8.2""/><i>dolce</i>"				0			
1	0	3/2	3/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	1							0			
1	0	7/4	7/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	2							0			
1	0	1/2	1/2	1.5		1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	3							1			
1	0	2	2	0.0		1/2	1/2	StaffText	2/4	2	1	0							"<font size=""8.2""/><i>dolce</i>"				1			
1	0	0	0	0.0		0	0	Dynamic	2/4	3	1	0					p									
1	0	1/2	1/2	0.0		1/8	1/8	Dynamic	2/4	3	1	0					p									
1	0	1/2	1/2	1.5		1/8	1/8	Chord	2/4	3	1	3/8		1/4	3/2	4										
1	0	0	0	0.0		0	0	Dynamic	2/4	4	1	0					p									
1	0	0	0	0.0		0	0	StaffText	2/4	4	1	0							"<font size=""8.2""/>pizz."							
1	0	1/2	1/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	5										
1	0	1	1	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	6										
1	0	3/2	3/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	7										
2	1	2	2	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	8										
2	1	2	2	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	9										
2	1	5/2	5/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	10							2			
2	1	7/2	7/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	11							2			
2	1	15/4	15/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	12							2			
2	1	2	2	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	13										
2	1	5/2	5/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	14										
2	1	3	3	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	15										
2	1	7/2	7/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	16										
3	2	9/2	9/2	1.0		1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	17							3			
3	2	11/2	11/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	18							3			
3	2	23/4	23/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	19							3			
3	2	4	4	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	20										
3	2	9/2	9/2	1.5		1/8	1/8	Chord	2/4	2	1	3/8		1/4	3/2	21							4			
3	2	4	4	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	22										
3	2	9/2	9/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	23										
3	2	5	5	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	24										
3	2	11/2	11/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	25										
4	3	6	6	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	26										
4	3	6	6	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	27										
4	3	13/2	13/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	28							5			
4	3	15/2	15/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	29							5			
4	3	31/4	31/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	30							5			
4	3	6	6	2.0		0	0	Chord	2/4	3	1	1/2		1/2	1	31										
4	3	13/2	13/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	32										
4	3	7	7	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	33										
4	3	15/2	15/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	34										
5	4	17/2	17/2	0.0		1/8	1/8	Spanner	2/4	1	1	0														0
5	4	17/2	17/2	1.0		1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	35							6			0
5	4	19/2	19/2	0.0		3/8	3/8	Spanner	2/4	1	1	0											6		0	0
5	4	19/2	19/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	36							6		0	0
5	4	39/4	39/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	37									0	0
5	4	8	8	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	38										
5	4	8	8	1.0		0	0	Chord	2/4	3	1	1/4		1/4	1	39							7			
5	4	9	9	1.0		1/4	1/4	Chord	2/4	3	1	1/4		1/4	1	40										
5	4	17/2	17/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	41										
5	4	9	9	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	42										
5	4	19/2	19/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	43										
6	5	10	10	0.0		0	0	Spanner	2/4	1	1	0														
6	5	10	10	0.0		0	0	Spanner	2/4	1	1	0														
6	5	10	10	0.5		0	0	Chord	2/4	1	1	1/8		1/8	1	44							8			
6	5	21/2	21/2	0.5		1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	45										
6	5	21/2	21/2	0.0		1/8	1/8	Spanner	2/4	2	1	0														1
6	5	21/2	21/2	1.0		1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	46							9			1
6	5	23/2	23/2	0.0		3/8	3/8	Spanner	2/4	2	1	0											9		1	1
6	5	23/2	23/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	47							9		1	1
6	5	47/4	47/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	48							9		1	1
6	5	10	10	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	49							10			
6	5	21/2	21/2	1.5		1/8	1/8	Chord	2/4	3	1	3/8		1/4	3/2	50										
6	5	21/2	21/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	51										
6	5	11	11	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	52										
6	5	23/2	23/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	53										
7	6	25/2	25/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	54							11			
7	6	51/4	51/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	55							11			
7	6	13	13	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	56										
7	6	12	12	0.0		0	0	Spanner	2/4	2	1	0														
7	6	12	12	0.0		0	0	Spanner	2/4	2	1	0														
7	6	12	12	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	57										
7	6	25/2	25/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	58							12			
7	6	13	13	0.5		1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	59										
7	6	27/2	27/2	0.25		3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	60							13			
7	6	55/4	55/4	0.25		7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	61							13			
7	6	12	12	0.5		0	0	Chord	2/4	3	1	1/8		1/8	1	62										
7	6	25/2	25/2	0.5		1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	63							14			
7	6	13	13	0.5		1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	64										
7	6	27/2	27/2	0.5		3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	65							15			
7	6	12	12	0.5		0	0	Chord	2/4	4	1	1/8		1/8	1	66										
7	6	25/2	25/2	0.5		1/8	1/8	Chord	2/4	4	1	1/8		1/8	1	67										
7	6	13	13	0.5		1/4	1/4	Chord	2/4	4	1	1/8		1/8	1	68										
7	6	27/2	27/2	0.5		3/8	3/8	Chord	2/4	4	1	1/8		1/8	1	69										
8	7	29/2	29/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	70							16			
8	7	59/4	59/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	71							16			
8	7	15	15	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	72										
8	7	14	14	0.5		0	0	Chord	2/4	2	1	1/8		1/8	1	73										
