"chords"	"altchords"	"measure"	"beat"	"global_key"	"local_key"	"organ"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"
".g#.i"	NA	1	2.0	"g#"	"I"	""	"i"	""	""	""	""
"V43"	NA	2	1.0	"g#"	"I"	""	"V"	""	"43"	""	""
"i"	NA	2	3.0	"g#"	"I"	""	"i"	""	""	""	""
"V65"	NA	3	1.0	"g#"	"I"	""	"V"	""	"65"	""	""
"i"	NA	3	2.0	"g#"	"I"	""	"i"	""	""	""	""
"VI"	NA	3	3.0	"g#"	"I"	""	"VI"	""	""	""	""
"iv7"	NA	4	1.0	"g#"	"I"	""	"iv"	""	"7"	""	""
"V(64)"	NA	4	2.0	"g#"	"I"	""	"V"	""	""	"(64)"	""
"V7"	NA	4	3.0	"g#"	"I"	""	"V"	""	"7"	""	""
"i"	NA	5	1.0	"g#"	"I"	""	"i"	""	""	""	""
"V43"	NA	6	1.0	"g#"	"I"	""	"V"	""	"43"	""	""
"i"	NA	6	3.0	"g#"	"I"	""	"i"	""	""	""	""
"V65"	NA	7	1.0	"g#"	"I"	""	"V"	""	"65"	""	""
"i"	NA	7	2.0	"g#"	"I"	""	"i"	""	""	""	""
"VI"	NA	7	6.0	"g#"	"I"	""	"VI"	""	""	""	""
"iv7"	NA	8	1.0	"g#"	"I"	""	"iv"	""	"7"	""	""
"V(64)"	NA	8	2.0	"g#"	"I"	""	"V"	""	""	"(64)"	""
"V7"	NA	8	3.0	"g#"	"I"	""	"V"	""	"7"	""	""
"i64"	NA	9	1.0	"g#"	"I"	""	"i"	""	"64"	""	""
"i"	NA	9	5.0	"g#"	"I"	""	"i"	""	""	""	""
"V6/III"	NA	9	6.0	"g#"	"I"	""	"V"	""	"6"	""	"III"
"V65/III"	NA	10	1.0	"g#"	"I"	""	"V"	""	"65"	""	"III"
"III(4)"	NA	10	3.0	"g#"	"I"	""	"III"	""	""	"(4)"	""
"III"	NA	11	1.0	"g#"	"I"	""	"III"	""	""	""	""
"V6"	NA	11	3.0	"g#"	"I"	""	"V"	""	"6"	""	""
"V65"	NA	12	1.0	"g#"	"I"	""	"V"	""	"65"	""	""
"i(4)"	NA	12	6.0	"g#"	"I"	""	"i"	""	""	"(4)"	""
"i"	NA	13	1.0	"g#"	"I"	""	"i"	""	""	""	""
"V43"	NA	14	1.0	"g#"	"I"	""	"V"	""	"43"	""	""
"i"	NA	14	3.0	"g#"	"I"	""	"i"	""	""	""	""
"V65"	NA	15	1.0	"g#"	"I"	""	"V"	""	"65"	""	""
"i"	NA	15	2.0	"g#"	"I"	""	"i"	""	""	""	""
"VI"	NA	15	6.0	"g#"	"I"	""	"VI"	""	""	""	""
"ii6"	NA	16	1.0	"g#"	"I"	""	"ii"	""	"6"	""	""
"V(64)"	NA	16	2.0	"g#"	"I"	""	"V"	""	""	"(64)"	""
"V7"	NA	16	3.0	"g#"	"I"	""	"V"	""	"7"	""	""
"i64"	NA	17	1.0	"g#"	"I"	""	"i"	""	"64"	""	""
"V6/III"	NA	17	3.0	"g#"	"I"	""	"V"	""	"6"	""	"III"
"V65/III"	NA	18	1.0	"g#"	"I"	""	"V"	""	"65"	""	"III"
"III(4)"	NA	18	3.0	"g#"	"I"	""	"III"	""	""	"(4)"	""
"III"	NA	19	1.0	"g#"	"I"	""	"III"	""	""	""	""
"V6"	NA	19	6.0	"g#"	"I"	""	"V"	""	"6"	""	""
"V65"	NA	20	1.0	"g#"	"I"	""	"V"	""	"65"	""	""
"i(4)"	NA	20	3.0	"g#"	"I"	""	"i"	""	""	"(4)"	""
"i"	NA	21	1.0	"g#"	"I"	""	"i"	""	""	""	""
"V43"	NA	22	1.0	"g#"	"I"	""	"V"	""	"43"	""	""
"i"	NA	22	3.0	"g#"	"I"	""	"i"	""	""	""	""
"V7/III"	NA	23	1.0	"g#"	"I"	""	"V"	""	"7"	""	"III"
"III"	NA	23	2.0	"g#"	"I"	""	"III"	""	""	""	""
"VI"	NA	23	6.0	"g#"	"I"	""	"VI"	""	""	""	""
"II6(2)"	NA	24	1.0	"g#"	"I"	""	"II"	""	"6"	"(2)"	""
"II6"	NA	24	1.75	"g#"	"I"	""	"II"	""	"6"	""	""
"V(64)"	NA	24	2.0	"g#"	"I"	""	"V"	""	""	"(64)"	""
"V7"	NA	24	3.0	"g#"	"I"	""	"V"	""	"7"	""	""
"iv.V7(+9)"	NA	25	1.0	"g#"	"iv"	""	"V"	""	"7"	"(+9)"	""
"V7"	NA	25	2.0	"g#"	"iv"	""	"V"	""	"7"	""	""
"i64"	NA	25	3.0	"g#"	"iv"	""	"i"	""	"64"	""	""
"V7"	NA	26	1.0	"g#"	"iv"	""	"V"	""	"7"	""	""
"VI"	NA	26	3.0	"g#"	"iv"	""	"VI"	""	""	""	""
"iv7"	NA	26	3.5	"g#"	"iv"	""	"iv"	""	"7"	""	""
".Ger6"	NA	27	1.0	"g#"	"iv"	""	"Ger"	""	"6"	""	""
"V(64)"	NA	27	1.5	"g#"	"iv"	""	"V"	""	""	"(64)"	""
"iv"	NA	27	2.0	"g#"	"iv"	""	"iv"	""	""	""	""
"V(64)"	NA	27	2.5	"g#"	"iv"	""	"V"	""	""	"(64)"	""
"V7"	NA	27	3.0	"g#"	"iv"	""	"V"	""	"7"	""	""
