"chord"	"altchord"	"measure"	"beat"	"totbeat"	"timesig"	"op"	"no"	"mov"	"length"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".f.#viio6"	""	"1"	"1.0"	"1.0"	"3/2"	"135"	"16"	"4"	2.0	"f"	"I"	""	"#vii"	"o"	"6"	""	""	false
"i6"	""	"1"	"3.0"	"3.0"	"3/2"	"135"	"16"	"4"	4.0	"f"	"I"	""	"i"	""	"6"	""	""	false
"i64"	""	"2"	"1.0"	"7.0"	"3/2"	"135"	"16"	"4"	3.0	"f"	"I"	""	"i"	""	"64"	""	""	false
"i6"	""	"2"	"4.0"	"10.0"	"3/2"	"135"	"16"	"4"	0.5	"f"	"I"	""	"i"	""	"6"	""	""	false
"#viio6"	""	"2"	"4.5"	"10.5"	"3/2"	"135"	"16"	"4"	0.5	"f"	"I"	""	"#vii"	"o"	"6"	""	""	false
"i"	""	"2"	"5.0"	"11.0"	"3/2"	"135"	"16"	"4"	2.0	"f"	"I"	""	"i"	""	""	""	""	false
"i64"	""	"3"	"1.0"	"13.0"	"3/2"	"135"	"16"	"4"	2.0	"f"	"I"	""	"i"	""	"64"	""	""	false
"iv6"	""	"3"	"3.0"	"15.0"	"3/2"	"135"	"16"	"4"	4.0	"f"	"I"	""	"iv"	""	"6"	""	""	false
"iv64"	""	"4"	"1.0"	"19.0"	"3/2"	"135"	"16"	"4"	4.0	"f"	"I"	""	"iv"	""	"64"	""	""	false
"IV2"	""	"4"	"5.0"	"23.0"	"3/2"	"135"	"16"	"4"	8.0	"f"	"I"	""	"IV"	""	"2"	""	""	false
"#viio43"	""	"6"	"1.0"	"31.0"	"3/2"	"135"	"16"	"4"	6.0	"f"	"I"	""	"#vii"	"o"	"43"	""	""	false
"#viio2"	""	"7"	"1.0"	"37.0"	"3/2"	"135"	"16"	"4"	2.0	"f"	"I"	""	"#vii"	"o"	"2"	""	""	false
"#viio7"	""	"7"	"3.0"	"39.0"	"3/2"	"135"	"16"	"4"	4.0	"f"	"I"	""	"#vii"	"o"	"7"	""	""	false
"V6"	""	"8"	"1.0"	"43.0"	"3/2"	"135"	"16"	"4"	2.0	"f"	"I"	""	"V"	""	"6"	""	""	false
"i"	""	"8"	"3.0"	"45.0"	"3/2"	"135"	"16"	"4"	6.0	"f"	"I"	""	"i"	""	""	""	""	false
"#viio65"	""	"9"	"3.0"	"51.0"	"3/2"	"135"	"16"	"4"	4.0	"f"	"I"	""	"#vii"	"o"	"65"	""	""	false
"V"	""	"10"	"1.0"	"55.0"	"3/2"	"135"	"16"	"4"	2.0	"f"	"I"	""	"V"	""	""	""	""	false
"V65(+2)"	""	"10"	"3.0"	"57.0"	"3/2"	"135"	"16"	"4"	4.0	"f"	"I"	""	"V"	""	"65"	"+2"	""	false
"V"	""	"11"	"1.0"	"61.0"	"3/2"	"135"	"16"	"4"	2.0	"f"	"I"	""	"V"	""	""	""	""	false
"V65(+2)"	""	"11"	"3.0"	"63.0"	"3/2"	"135"	"16"	"4"	4.0	"f"	"I"	""	"V"	""	"65"	"+2"	""	false
"V"	""	"12"	"1.0"	"67.0"	"3/2"	"135"	"16"	"4"	6.0	"f"	"I"	""	"V"	""	""	""	""	false
"V"	""	"13"	"1.0"	"73.0"	"4/4"	"135"	"16"	"4"	2.0	"f"	"I"	""	"V"	""	""	""	""	false
"V6"	""	"13"	"3.0"	"75.0"	"4/4"	"135"	"16"	"4"	2.0	"f"	"I"	""	"V"	""	"6"	""	""	false
"V"	""	"14"	"1.0"	"77.0"	"4/4"	"135"	"16"	"4"	3.0	"f"	"I"	""	"V"	""	""	""	""	false
"V6"	""	"14"	"4.0"	"80.0"	"4/4"	"135"	"16"	"4"	1.0	"f"	"I"	""	"V"	""	"6"	""	""	false
"I(+4)"	""	"15"	"1.0"	"81.0"	"4/4"	"135"	"16"	"4"	2.0	"f"	"I"	""	"I"	""	""	"+4"	""	false
"I64"	""	"15"	"3.0"	"83.0"	"4/4"	"135"	"16"	"4"	4.0	"f"	"I"	""	"I"	""	"64"	""	""	false
"I"	""	"16"	"3.0"	"87.0"	"4/4"	"135"	"16"	"4"	2.0	"f"	"I"	""	"I"	""	""	""	""	false
"I[I6"	""	"17"	"1.0"	"89.0"	"4/4"	"135"	"16"	"4"	2.0	"f"	"I"	"I"	"I"	""	"6"	""	""	false
