"chord"	"altchord"	"measure"	"beat"	"global_key"	"local_key"	"pedal"	"numeral"	"form"	"figbass"	"changes"	"relativeroot"	"phraseend"
".D.I"	""	1	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V"	""	4	1.0	"D"	"I"	""	"V"	""	""	""	""	false
"I"	""	5	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7/iv"	""	5	2.0	"D"	"I"	""	"V"	""	"7"	""	"iv"	false
"iv[iv"	""	7	1.0	"D"	"I"	"iv"	"iv"	""	""	""	""	false
"V/iv"	""	7	2.5	"D"	"I"	"iv"	"V"	""	""	""	"iv"	false
"iv]"	""	8	1.0	"D"	"I"	"iv"	"iv"	""	""	""	""	false
"I"	""	8	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"V7"	""	9	2.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I"	""	9	2.5	"D"	"I"	""	"I"	""	""	""	""	false
"V"	""	10	1.0	"D"	"I"	""	"V"	""	""	""	""	false
"#io"	""	10	2.0	"D"	"I"	""	"#i"	"o"	""	""	""	false
"V65"	""	10	2.5	"D"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	11	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"#ivo43"	""	11	2.0	"D"	"I"	""	"#iv"	"o"	"43"	""	""	false
"V"	""	12	2.0	"D"	"I"	""	"V"	""	""	""	""	false
"V(b9)"	""	13	1.0	"D"	"I"	""	"V"	""	""	"b9"	""	false
"V"	""	13	2.0	"D"	"I"	""	"V"	""	""	""	""	false
"I64(b6)"	""	14	1.0	"D"	"I"	""	"I"	""	"64"	"b6"	""	false
"I"	""	14	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"I6"	""	14	2.5	"D"	"I"	""	"I"	""	"6"	""	""	false
"V43"	""	15	1.0	"D"	"I"	""	"V"	""	"43"	""	""	false
"I"	""	15	2.0	"D"	"I"	""	"I"	""	""	""	""	false
"V6"	""	16	1.0	"D"	"I"	""	"V"	""	"6"	""	""	false
"V43(b9)"	""	17	1.0	"D"	"I"	""	"V"	""	"43"	"b9"	""	false
"I"	""	18	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"#io7"	""	18	2.0	"D"	"I"	""	"#i"	"o"	"7"	""	""	false
"V65/ii"	""	19	1.0	"D"	"I"	""	"V"	""	"65"	""	"ii"	false
"ii"	""	19	2.0	"D"	"I"	""	"ii"	""	""	""	""	false
"#viio43"	""	20	1.0	"D"	"I"	""	"#vii"	"o"	"43"	""	""	false
"V43"	""	20	2.0	"D"	"I"	""	"V"	""	"43"	""	""	false
"I6"	""	21	2.0	"D"	"I"	""	"I"	""	"6"	""	""	false
"IV"	""	22	1.0	"D"	"I"	""	"IV"	""	""	""	""	false
"ii"	""	22	1.5	"D"	"I"	""	"ii"	""	""	""	""	false
"V"	""	22	2.0	"D"	"I"	""	"V"	""	""	""	""	false
"I[iiio43"	""	23	1.0	"D"	"I"	"I"	"iii"	"o"	"43"	""	""	false
"I"	""	23	2.0	"D"	"I"	"I"	"I"	""	""	""	""	false
"#vo43"	""	24	1.0	"D"	"I"	"I"	"#v"	"o"	"43"	""	""	false
"I]"	""	24	2.0	"D"	"I"	"I"	"I"	""	""	""	""	false
"I"	""	25	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"IV"	""	25	2.5	"D"	"I"	""	"IV"	""	""	""	""	false
"I64"	""	26	1.0	"D"	"I"	""	"I"	""	"64"	""	""	false
"V"	""	26	2.0	"D"	"I"	""	"V"	""	""	""	""	false
"I[iiio43"	""	27	1.0	"D"	"I"	"I"	"iii"	"o"	"43"	""	""	false
"I"	""	27	2.0	"D"	"I"	"I"	"I"	""	""	""	""	false
"#vo43"	""	28	1.0	"D"	"I"	"I"	"#v"	"o"	"43"	""	""	false
"I]"	""	28	2.0	"D"	"I"	"I"	"I"	""	""	""	""	false
"I"	""	29	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"IV"	""	29	2.5	"D"	"I"	""	"IV"	""	""	""	""	false
"I64"	""	30	1.0	"D"	"I"	""	"I"	""	"64"	""	""	false
"V"	""	30	2.0	"D"	"I"	""	"V"	""	""	""	""	false
"I"	""	31	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"IV6"	""	31	2.5	"D"	"I"	""	"IV"	""	"6"	""	""	false
"vi"	""	32	1.0	"D"	"I"	""	"vi"	""	""	""	""	false
"I"	""	32	1.5	"D"	"I"	""	"I"	""	""	""	""	false
"V"	""	32	2.0	"D"	"I"	""	"V"	""	""	""	""	false
"I"	""	33	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"#vo7"	""	33	2.0	"D"	"I"	""	"#v"	"o"	"7"	""	""	false
"I\\\\"	""	34	1.0	"D"	"I"	""	"I"	""	""	""	""	true
"I"	""	35	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"I2"	""	38	2.0	"D"	"I"	""	"I"	""	"2"	""	""	false
"v"	""	39	1.0	"D"	"I"	""	"v"	""	""	""	""	false
"V/v"	""	39	2.0	"D"	"I"	""	"V"	""	""	""	"v"	false
".bVII"	""	40	1.0	"D"	"I"	""	"bVII"	""	""	""	""	false
"vii"	""	40	2.0	"D"	"I"	""	"vii"	""	""	""	""	false
"I"	""	41	1.0	"D"	"I"	""	"I"	""	""	""	""	false
"i"	""	41	2.0	"D"	"I"	""	"i"	""	""	""	""	false
"#ivo2"	""	42	2.0	"D"	"I"	""	"#iv"	"o"	"2"	""	""	false
"viio7"	""	43	1.0	"D"	"I"	""	"vii"	"o"	"7"	""	""	false
"V"	""	43	1.5	"D"	"I"	""	"V"	""	""	""	""	false
"V7"	""	43	2.0	"D"	"I"	""	"V"	""	"7"	""	""	false
"I(4)"	""	44	1.0	"D"	"I"	""	"I"	""	""	"4"	""	false
"viio"	""	44	2.0	"D"	"I"	""	"vii"	"o"	""	""	""	false
".bIII6"	""	45	1.0	"D"	"I"	""	"bIII"	""	"6"	""	""	false
"V43/iv"	""	45	2.0	"D"	"I"	""	"V"	""	"43"	""	"iv"	false
"iv"	""	46	1.0	"D"	"I"	""	"iv"	""	""	""	""	false
".bII"	""	47	1.0	"D"	"I"	""	"bII"	""	""	""	""	false
"iv64"	""	47	1.5	"D"	"I"	""	"iv"	""	"64"	""	""	false
"viio7"	""	47	2.0	"D"	"I"	""	"vii"	"o"	"7"	""	""	false
"V7/.bIII"	""	47	2.5	"D"	"I"	""	"V"	""	"7"	""	"bIII"	false
".bIII64"	""	48	1.0	"D"	"I"	""	"bIII"	""	"64"	""	""	false
"vi%7"	""	48	2.0	"D"	"I"	""	"vi"	"%"	"7"	""	""	false
"vio7"	""	48	2.5	"D"	"I"	""	"vi"	"o"	"7"	""	""	false
"V/.bIII"	""	49	1.0	"D"	"I"	""	"V"	""	""	""	"bIII"	false
"V65"	""	49	2.0	"D"	"I"	""	"V"	""	"65"	""	""	false
"I"	""	50	1.0	"D"	"I"	""	"I"	""	""	""	""	false
".bVI6"	""	50	1.5	"D"	"I"	""	"bVI"	""	"6"	""	""	false
"i"	""	51	1.5	"D"	"I"	""	"i"	""	""	""	""	false
"#ivo43"	""	51	2.0	"D"	"I"	""	"#iv"	"o"	"43"	""	""	false
"V6"	""	52	1.0	"D"	"I"	""	"V"	""	"6"	""	""	false
"v%65"	""	52	1.5	"D"	"I"	""	"v"	"%"	"65"	""	""	false
"V/iv"	""	52	2.0	"D"	"I"	""	"V"	""	""	""	"iv"	false
"V2/iv"	""	52	2.5	"D"	"I"	""	"V"	""	"2"	""	"iv"	false
"iv6"	""	53	1.0	"D"	"I"	""	"iv"	""	"6"	""	""	false
