quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.5	1	1	0	0	4/4	4	1		f.i	f	i		i		i							m	1	1	0, -3, 1		0	0
5/2	1.5	1	1	5/8	5/8	4/4	4	1		V	f	i		V		V							M	1	1	1, 5, 2		1	1
4	4.0	2	2	0	0	4/4	4	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
8	2.0	3	3	0	0	4/4	4	1		V[V6	f	i	V	V6		V		6					M	1	1	5, 2, 1		1	5
10	2.0	3	3	1/2	1/2	4/4	4	1		i	f	i	V	i		i							m	1	1	0, -3, 1		0	0
12	1.0	4	4	0	0	4/4	4	1		V6]	f	i	V	V6		V		6					M	1	1	5, 2, 1		1	5
13	1.0	4	4	1/4	1/4	4/4	4	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
14	1.0	4	4	1/2	1/2	4/4	4	1		V	f	i		V		V							M	1	1	1, 5, 2		1	1
15	1.0	4	4	3/4	3/4	4/4	4	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
16	4.0	5	5	0	0	4/4	4	1		V	f	i		V		V							M	1	1	1, 5, 2		1	1
20	8.0	6	6	0	0	4/4	4	1		bII	f	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
28	4.0	8	8	0	0	4/4	4	1		viio2/V	f	i		viio2/V		vii	o	2		V			o7	1	1	-3, 6, 3, 0		6	-3
32	2.0	9	9	0	0	4/4	4	1		V43(2)	f	i		V43(2)		V		43	2				Mm7	1	1	2, -1, -4, 5		1	2
34	2.0	9	9	1/2	1/2	4/4	4	1		V43	f	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
36	4.0	10	10	0	0	4/4	4	1		V7	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
40	2.0	11	11	0	0	4/4	4	1		V7(94)	f	i		V7(94)		V		7	94				Mm7	1	1	1, 0, 2, -1	-4	1	1
42	6.0	11	11	1/2	1/2	4/4	4	1		V7(9)	f	i		V7(9)		V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
48	4.0	13	13	0	0	4/4	4	1		V7	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
52	2.0	14	14	0	0	4/4	4	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
54	1.0	14	14	1/2	1/2	4/4	4	1		vii%65	f	i		vii%65		vii	%	65					%7	1	1	-5, -8, -4, -2		-2	-5
55	1.0	14	14	3/4	3/4	4/4	4	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
56	4.0	15	15	0	0	4/4	4	1		V	f	i		V		V							M	1	1	1, 5, 2		1	1
60	2.0	16	16	0	0	4/4	4	1		VI	f	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
62	1.0	16	16	1/2	1/2	4/4	4	1		VI(#4)	f	i		VI(#4)		VI			#4				M	1	1	-4, 0, 9		-4	-4
63	1.0	16	16	3/4	3/4	4/4	4	1		VI	f	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
64	1.0	17	17	0	0	4/4	4	1		V/V	f	i		V/V		V				V			M	1	1	2, 6, 3		2	2
65	1.0	17	17	1/4	1/4	4/4	4	1		V7/V	f	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
66	2.0	17	17	1/2	1/2	4/4	4	1		V	f	i		V		V							M	1	1	1, 5, 2		1	1
68	1.0	18	18	0	0	4/4	4	1		i\\	f	i		i		i						\\	m	1	1	0, -3, 1		0	0
69	1.5	18	18	1/4	1/4	4/4	4	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
141/2	1.5	18	18	5/8	5/8	4/4	4	1		V	f	i		V		V							M	1	1	1, 5, 2		1	1
72	2.0	19	19	0	0	4/4	4	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
74	2.0	19	19	1/2	1/2	4/4	4	1		bII	f	i		bII		bII							M	1	1	-5, -1, -4		-5	-5
76	4.0	20	20	0	0	4/4	4	1		@none	f	i		@none		@none							m	1	1				
80	0.5	21	21	0	0	4/4	4	1		V	f	i		V		V							M	1	1	1, 5, 2		1	1
161/2	1.5	21	21	1/8	1/8	4/4	4	1		V6/VI	f	i		V6/VI		V		6		VI			M	1	1	1, -2, -3		-3	1
82	1.0	21	21	1/2	1/2	4/4	4	1		VI.V	f	VI		V		V							M	1	0	1, 5, 2		1	1
