quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.0	1	1	0	0	2/2	4	1		1	a.#viio	dcml	a	i		#viio		#vii	o						o	1	1	5, 2, -1		5	5
2	2.0	1	1	1/2	1/2	2/2	4	1		1	i	dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
4	2.0	2	2	0	0	2/2	4	1		1	VI	dcml	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
6	2.0	2	2	1/2	1/2	2/2	4	1		1	V	dcml	a	i		V		V							M	1	1	1, 5, 2		1	1
8	2.0	3	3	0	0	2/2	4	1		1	viio43/V	dcml	a	i		viio43/V		vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
10	2.0	3	3	1/2	1/2	2/2	4	1		1	V6	dcml	a	i		V6		V		6					M	1	1	5, 2, 1		1	5
12	2.0	4	4	0	0	2/2	4	1		1	viio7/V	dcml	a	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
14	2.0	4	4	1/2	1/2	2/2	4	1		1	V	dcml	a	i		V		V							M	1	1	1, 5, 2		1	1
16	2.0	5	5	0	0	2/2	4	1		1	#viio2	dcml	a	i		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
18	2.0	5	5	1/2	1/2	2/2	4	1		1	i64	dcml	a	i		i64		i		64					m	1	1	1, 0, -3		0	1
20	2.0	6	6	0	0	2/2	4	1		1	#viio7	dcml	a	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
22	2.0	6	6	1/2	1/2	2/2	4	1		1	i	dcml	a	i		i		i							m	1	1	0, -3, 1		0	0
24	2.0	7	7	0	0	2/2	4	1		1	viio7/V	dcml	a	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
26	2.0	7	7	1/2	1/2	2/2	4	1		1	V	dcml	a	i		V		V							M	1	1	1, 5, 2		1	1
28	2.0	8	8	0	0	2/2	4	1		1	Ger43	dcml	a	i		Ger43	Ger	vii	o	43	b3	V			Ger	1	1	0, -3, 6, -4		6	0
30	1.0	8	8	1/2	1/2	2/2	4	1		1	V64	dcml	a	i		V64		V		64					M	1	1	2, 1, 5		1	2
31	1.0	8	8	3/4	3/4	2/2	4	1		1	#viio65	dcml	a	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
32	7.0	9	9	0	0	4/4	4	1		1	#viio65	dcml	a	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
39	0.5	10	10	3/4	3/4	4/4	4	1		1	i6(6)	dcml	a	i		i6(6)		i		6	6				m	1	1	-3, -4, 0		0	-3
79/2	1.5	10	10	7/8	7/8	4/4	4	1		1	i6	dcml	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
