mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	3/8	3/4	4	1		Bb.I64	Bb	I		I64		I		64					M	0	0	1, 0, 4		0	1
1	0	1	0.5	1/4	5/8	3/4	4	1		V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
2	1	3/2	0.5	0	0	3/4	4	1		I(94)	Bb	I		I(94)		I			94				M	0	0	0, -1, 1	2	0	0
2	1	2	1.0	1/8	1/8	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
2	1	3	1.5	3/8	3/8	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	9/2	0.5	0	0	3/4	4	1		I(94)	Bb	I		I(94)		I			94				M	0	0	0, -1, 1	2	0	0
3	2	5	1.0	1/8	1/8	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
3	2	6	0.5	3/8	3/8	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	13/2	0.5	1/2	1/2	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
3	2	7	0.5	5/8	5/8	3/4	4	1		V6	Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
4	3	15/2	0.5	0	0	3/4	4	1		I(9)	Bb	I		I(9)		I			9				M	0	0	0, 4, 1	2	0	0
4	3	8	1.0	1/8	1/8	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
4	3	9	0.5	3/8	3/8	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	19/2	0.5	1/2	1/2	3/4	4	1		I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
4	3	10	0.5	5/8	5/8	3/4	4	1		ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
5	4	21/2	1.5	0	0	3/4	4	1		V\\	Bb	I		V		V						\\	M	0	0	1, 5, 2		1	1
5	4	12	1.0	3/8	3/8	3/4	4	1		vii%7	Bb	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
5	4	13	0.5	5/8	5/8	3/4	4	1		#viio/ii	Bb	I		#viio/ii		#vii	o			ii			o	0	0	7, 4, 1		7	7
6	5	27/2	0.5	0	0	3/4	4	1		ii(94)	Bb	I		ii(94)		ii			94				m	0	0	2, 1, 3	4	2	2
6	5	14	1.0	1/8	1/8	3/4	4	1		ii	Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
6	5	15	1.0	3/8	3/8	3/4	4	1		#viio7/vi	Bb	I		#viio7/vi		#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
6	5	16	0.5	5/8	5/8	3/4	4	1		vi	Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
7	6	33/2	0.5	0	0	3/4	4	1		ii6(2)	Bb	I		ii6(2)		ii		6	2				m	0	0	-1, 3, 4		2	-1
7	6	17	1.0	1/8	1/8	3/4	4	1		ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
7	6	18	1.0	3/8	3/8	3/4	4	1		ii	Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
7	6	19	0.5	5/8	5/8	3/4	4	1		ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	7	39/2	2.5	0	0	3/4	4	1		V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	7	22	0.5	5/8	5/8	3/4	4	1		V7(4)	Bb	I		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
9	8	45/2	1.5	0	0	3/4	4	1		I\\	Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
10	8	24	0.5	0	3/8	3/4	4	1		V6/vi	Bb	I		V6/vi		V		6		vi			M	0	0	8, 5, 4		4	8
10	8	49/2	0.5	1/8	1/2	3/4	4	1		vi	Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
10	8	25	0.5	1/4	5/8	3/4	4	1		#viio43/iii	Bb	I		#viio43/iii		#vii	o	43		iii			o7	0	0	3, 0, 9, 6		9	3
11	9	51/2	2.5	0	0	3/4	4	1		V6/vi	Bb	I		V6/vi		V		6		vi			M	0	0	8, 5, 4		4	8
11	9	28	0.5	5/8	5/8	3/4	4	1		V.V2/V	Bb	V		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
12	10	57/2	2.5	0	0	3/4	4	1		V6	Bb	V		V6		V		6					M	0	0	5, 2, 1		1	5
12	10	31	0.5	5/8	5/8	3/4	4	1		viio43/V	Bb	V		viio43/V		vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
13	11	63/2	2.5	0	0	3/4	4	1		V6	Bb	V		V6		V		6					M	0	0	5, 2, 1		1	5
13	11	34	1.0	5/8	5/8	3/4	4	1		V2/IV	Bb	V		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
14	12	35	1.0	1/8	1/8	3/4	4	1		IV6	Bb	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
14	12	36	1.0	3/8	3/8	3/4	4	1		IV+6	Bb	V		IV+6		IV	+	6					+	0	0	3, 7, -1		-1	3
14	12	37	1.0	5/8	5/8	3/4	4	1		I.ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
15	13	38	1.0	1/8	1/8	3/4	4	1		V6/ii	Bb	I		V6/ii		V		6		ii			M	0	0	7, 4, 3		3	7
15	13	39	1.0	3/8	3/8	3/4	4	1		ii	Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
15	13	40	0.5	5/8	5/8	3/4	4	1		V43/ii	Bb	I		V43/ii		V		43		ii			Mm7	0	0	4, 1, 3, 7		3	4
16	14	81/2	0.5	0	0	3/4	4	1		ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
16	14	41	0.5	1/8	1/8	3/4	4	1		V6/ii	Bb	I		V6/ii		V		6		ii			M	0	0	7, 4, 3		3	7
16	14	83/2	0.5	1/4	1/4	3/4	4	1		ii	Bb	I		ii		ii							m	0	0	2, -1, 3		2	2
16	14	42	0.5	3/8	3/8	3/4	4	1		#viio6/ii	Bb	I		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4
16	14	85/2	0.5	1/2	1/2	3/4	4	1		ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
16	14	43	0.5	5/8	5/8	3/4	4	1		V65/V	Bb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
17	15	87/2	2.5	0	0	3/4	4	1		V[V64	Bb	I	V	V64		V		64					M	0	0	2, 1, 5		1	2
17	15	46	0.5	5/8	5/8	3/4	4	1		V7	Bb	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	16	93/2	2.5	0	0	3/4	4	1		I64	Bb	I	V	I64		I		64					M	0	0	1, 0, 4		0	1
18	16	49	0.5	5/8	5/8	3/4	4	1		viio/V	Bb	I	V	viio/V		vii	o			V			o	0	0	6, 3, 0		6	6
19	17	99/2	2.5	0	0	3/4	4	1		V	Bb	I	V	V		V							M	0	0	1, 5, 2		1	1
19	17	52	0.5	5/8	5/8	3/4	4	1		V7	Bb	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	18	105/2	1.5	0	0	3/4	4	1		i64	Bb	I	V	i64		i		64					m	0	0	1, 0, -3		0	1
20	18	54	1.5	3/8	3/8	3/4	4	1		viio64/V	Bb	I	V	viio64/V		vii	o	64		V			o	0	0	0, 6, 3		6	0
21	19	111/2	3.0	0	0	3/4	4	1		V6]	Bb	I	V	V6		V		6					M	0	0	5, 2, 1		1	5
22	20	117/2	7.0	0	0	3/4	4	1		V	Bb	I		V		V							M	0	0	1, 5, 2		1	1
24	22	131/2	1.0	1/4	1/4	3/4	4	1		V2	Bb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
