mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	3.0	0	0	3/8	4	1	Ab.I[I64		Ab	I	I	I64		I		64					M	0	0	1, 0, 4		0	1
3	3	3	0.5	0	0	3/8	4	1	V(2)/V		Ab	I	I	V(2)/V		V			2	V			M	0	0	4, 6, 3		2	4
3	3	7/2	0.5	1/8	1/8	3/8	4	1	viio7		Ab	I	I	viio7		vii	o	7					o7	0	0	5, 2, -1, -4		5	5
3	3	4	0.5	1/4	1/4	3/8	4	1	I]		Ab	I	I	I		I							M	0	0	0, 4, 1		0	0
4	4	9/2	0.25	0	0	3/8	4	1	IV6		Ab	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
4	4	19/4	0.25	1/16	1/16	3/8	4	1	V65		Ab	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	4	5	0.5	1/8	1/8	3/8	4	1	I		Ab	I		I		I							M	0	0	0, 4, 1		0	0
4	4	11/2	0.5	1/4	1/4	3/8	4	1	I6		Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	6	1.5	0	0	3/8	4	1	V		Ab	I		V		V							M	0	0	1, 5, 2		1	1
6	6	15/2	1.5	0	0	3/8	4	1	I		Ab	I		I		I							M	0	0	0, 4, 1		0	0
7	7	9	1.0	0	0	3/8	4	1	#viio65/vi		Ab	I		#viio65/vi		#vii	o	65		vi			o7	0	0	5, 2, -1, 8		8	5
7	7	10	0.5	1/4	1/4	3/8	4	1	IV6		Ab	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
8	8	21/2	0.5	0	0	3/8	4	1	V6/vi		Ab	I		V6/vi		V		6		vi			M	0	0	8, 5, 4		4	8
8	8	11	0.25	1/8	1/8	3/8	4	1	vi		Ab	I		vi		vi							m	0	0	3, 0, 4		3	3
8	8	45/4	0.25	3/16	3/16	3/8	4	1	vi6		Ab	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
8	8	23/2	0.25	1/4	1/4	3/8	4	1	V(64)/V		Ab	I		V(64)/V		V			64	V			M	0	0	2, 1, 5		2	2
8	8	47/4	0.25	5/16	5/16	3/8	4	1	V7/V		Ab	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
9	9	12	0.5	0	0	3/8	4	1	V(9#74)		Ab	I		V(9#74)		V			9#74				M	0	0	1, 0, 2	3, 6	1	1
9	9	25/2	1.0	1/8	1/8	3/8	4	1	V\\		Ab	I		V		V						\\	M	0	0	1, 5, 2		1	1
10	10	27/2	0.5	0	0	3/8	4	1	V2		Ab	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
10	10	14	0.5	1/8	1/8	3/8	4	1	I6		Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	29/2	0.5	1/4	1/4	3/8	4	1	V64		Ab	I		V64		V		64					M	0	0	2, 1, 5		1	2
11	11	15	1.0	0	0	3/8	4	1	I		Ab	I		I		I							M	0	0	0, 4, 1		0	0
11	11	16	0.25	1/4	1/4	3/8	4	1	I64		Ab	I		I64		I		64					M	0	0	1, 0, 4		0	1
11	11	65/4	0.25	5/16	5/16	3/8	4	1	ii43		Ab	I		ii43		ii		43					mm7	0	0	3, 0, 2, -1		2	3
12	12	33/2	0.5	0	0	3/8	4	1	V2/IV		Ab	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
12	12	17	0.5	1/8	1/8	3/8	4	1	IV6		Ab	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
12	12	35/2	0.5	1/4	1/4	3/8	4	1	V43/IV		Ab	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
13	13	18	1.0	0	0	3/8	4	1	IV		Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
13	13	19	0.25	1/4	1/4	3/8	4	1	V65/IV		Ab	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
13	13	77/4	0.25	5/16	5/16	3/8	4	1	IV		Ab	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
14	14	39/2	0.5	0	0	3/8	4	1	V6(6)/ii		Ab	I		V6(6)/ii		V		6	6	ii			M	0	0	7, -1, 3		3	7
14	14	20	0.5	1/8	1/8	3/8	4	1	V65/ii		Ab	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
14	14	41/2	0.25	1/4	1/4	3/8	4	1	V(6)/ii		Ab	I		V(6)/ii		V			6	ii			M	0	0	3, 7, -1		3	3
14	14	83/4	0.25	5/16	5/16	3/8	4	1	V65/ii		Ab	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
15	15	21	0.5	0	0	3/8	4	1	ii(94)		Ab	I		ii(94)		ii			94				m	0	0	2, 1, 3	4	2	2
15	15	43/2	0.75	1/8	1/8	3/8	4	1	ii		Ab	I		ii		ii							m	0	0	2, -1, 3		2	2
15	15	89/4	0.25	5/16	5/16	3/8	4	1	#viio6/ii		Ab	I		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4
16	16	45/2	1.25	0	0	3/8	4	1	ii6		Ab	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
16	16	95/4	0.25	5/16	5/16	3/8	4	1	V2		Ab	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
17	17	24	0.25	0	0	3/8	4	1	I6		Ab	I		I6		I		6					M	0	0	4, 1, 0		0	4
17	17	97/4	0.25	1/16	1/16	3/8	4	1	IV6		Ab	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
17	17	49/2	0.5	1/8	1/8	3/8	4	1	V(64)		Ab	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
17	17	25	0.5	1/4	1/4	3/8	4	1	V		Ab	I		V		V							M	0	0	1, 5, 2		1	1
18	18	51/2	0.5	0	0	3/8	4	1	I[I6		Ab	I	I	I6		I		6					M	0	0	4, 1, 0		0	4
18	18	26	0.5	1/8	1/8	3/8	4	1	IV64		Ab	I	I	IV64		IV		64					M	0	0	0, -1, 3		-1	0
18	18	53/2	0.5	1/4	1/4	3/8	4	1	ii		Ab	I	I	ii		ii							m	0	0	2, -1, 3		2	2
19	19	27	0.5	0	0	3/8	4	1	ii7		Ab	I	I	ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
19	19	55/2	0.5	1/8	1/8	3/8	4	1	V		Ab	I	I	V		V							M	0	0	1, 5, 2		1	1
19	19	28	0.25	1/4	1/4	3/8	4	1	vi		Ab	I	I	vi		vi							m	0	0	3, 0, 4		3	3
19	19	113/4	0.25	5/16	5/16	3/8	4	1	V6		Ab	I	I	V6		V		6					M	0	0	5, 2, 1		1	5
20	20	57/2	0.5	0	0	3/8	4	1	I		Ab	I	I	I		I							M	0	0	0, 4, 1		0	0
20	20	29	0.5	1/8	1/8	3/8	4	1	IV		Ab	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
20	20	59/2	0.5	1/4	1/4	3/8	4	1	ii6		Ab	I	I	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
21	21	30	0.5	0	0	3/8	4	1	ii65		Ab	I	I	ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
21	21	61/2	0.5	1/8	1/8	3/8	4	1	V		Ab	I	I	V		V							M	0	0	1, 5, 2		1	1
