mc	mn	onset	label
1	1	0	.D.I
4	4	0	V
5	5	0	I
5	5	1/4	V7/IV
7	7	0	iv[iv
7	7	3/8	viio6/iv
8	8	0	iv]
8	8	1/4	I
9	9	1/4	viio6
9	9	3/8	I
10	10	0	V7
10	10	1/4	#io
10	10	3/8	V65
11	11	0	I
11	11	1/4	#viio43/V
12	12	1/4	V\\
13	13	0	V(b9)
13	13	1/4	V
14	14	0	I64(b6)
14	14	1/4	I64
14	14	3/8	I6
15	15	0	V43
15	15	1/4	I
16	16	0	V6
17	17	0	V43(b9)
18	18	0	I
18	18	1/4	V65(2)/ii
19	19	0	V65/ii
19	19	1/4	ii
20	20	0	V43(b2)
20	20	1/4	V43
21	21	1/4	I6
22	22	0	IV
22	22	1/8	ii6
22	22	1/4	V
23	23	0	I(+b7+b2)
23	23	1/4	I
24	24	0	iv64(+6+#4)
24	24	1/4	I
25	25	1/4	I6
25	25	3/8	IV
26	26	0	V(64)
26	26	1/4	V
27	27	0	I(+b7+b2)
27	27	1/4	I
28	28	0	iv64(+6+#4)
28	28	1/4	I
29	29	1/4	I6
29	29	3/8	IV64
30	30	0	V(64)
30	30	1/4	V7
31	31	0	I\\
31	31	1/8	I6
31	31	3/8	IV6
32	32	0	vi
32	32	1/8	I6
32	32	1/4	V
33	33	0	I[I64
33	33	1/4	viio2
34	34	0	I64]\\
35	35	0	I
36	36	0	@none
38	38	1/4	V6
38	38	3/8	V2/IV
39	39	1/4	#viio(2)/V
40	40	0	#viio64/IV
40	40	1/4	viio
41	41	0	I
41	41	1/4	i
42	42	1/4	#ivo2
43	43	0	viio7
43	43	1/8	V
43	43	1/4	viio64
43	43	3/8	V7
44	44	0	I(4)
44	44	1/4	viio
45	45	0	.bIII6
45	45	1/4	V43/iv
46	46	0	iv6
47	47	0	.bII
47	47	1/8	iv64
47	47	1/4	viio7
47	47	3/8	V7/bIII
48	48	0	.bIII64
48	48	1/4	#viio6(2)/V
48	48	3/8	#viio6/V
49	49	0	V/bIII
49	49	1/4	V65
50	50	0	I
50	50	1/8	.bVI6
51	51	1/8	i
51	51	1/4	#viio43/V
52	52	0	V6
52	52	1/8	ii%65/iv
52	52	1/4	V(b9)/iv
52	52	3/8	V2/iv
53	53	0	iv6
53	53	1/8	i64
53	53	1/4	#viio7
54	54	0	V
