mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	1	0	0	3.0	1	3/4	3/4	0						firstMeasure					2
2	2	3	3	3.0	1	3/4	3/4	0						start					3
3	3	6	6	3.0	1	3/4	3/4	0											4
4	4	9	9	3.0	1	3/4	3/4	0											5
5	5	12	12	3.0	1	3/4	3/4	0											6
6	6	15	15	3.0	1	3/4	3/4	0											7
7	7	18	18	3.0	1	3/4	3/4	0											8
8	8		21	3.0	1	3/4	3/4	0	1										9
9	9		24	3.0	1	3/4	3/4	0	1					end					2, 10
10	10		27	3.0	1	3/4	3/4	0	1										11
11	11	21	30	3.0	1	3/4	3/4	0					line						12
12	12	24	33	3.0	1	3/4	3/4	0						start					13
13	13	27	36	3.0	1	3/4	3/4	0											14
14	14	30	39	3.0	1	3/4	3/4	0											15
15	15	33	42	3.0	1	3/4	3/4	0											16
16	16	36	45	3.0	1	3/4	3/4	0											17
17	17	39	48	3.0	1	3/4	3/4	0											18
18	18	42	51	3.0	1	3/4	3/4	0											19
19	19	45	54	3.0	1	3/4	3/4	0											20
20	20	48	57	3.0	1	3/4	3/4	0											21
21	21	51	60	3.0	1	3/4	3/4	0					line						22
22	22	54	63	3.0	1	3/4	3/4	0											23
23	23	57	66	3.0	1	3/4	3/4	0											24
24	24	60	69	3.0	1	3/4	3/4	0											25
25	25	63	72	3.0	1	3/4	3/4	0											26
26	26	66	75	3.0	1	3/4	3/4	0											27
27	27	69	78	3.0	1	3/4	3/4	0											28
28	28	72	81	3.0	1	3/4	3/4	0											29
29	29	75	84	3.0	1	3/4	3/4	0											30
30	30	78	87	3.0	1	3/4	3/4	0											31
31	31	81	90	3.0	1	3/4	3/4	0					line						32
32	32	84	93	3.0	1	3/4	3/4	0											33
33	33	87	96	3.0	1	3/4	3/4	0											34
34	34	90	99	3.0	1	3/4	3/4	0											35
35	35	93	102	3.0	1	3/4	3/4	0											36
36	36	96	105	3.0	1	3/4	3/4	0											37
37	37	99	108	3.0	1	3/4	3/4	0											38
38	38	102	111	3.0	1	3/4	3/4	0											39
39	39	105	114	3.0	1	3/4	3/4	0											40
40	40	108	117	3.0	1	3/4	3/4	0											41
41	41	111	120	3.0	1	3/4	3/4	0											42
42	42	114	123	3.0	1	3/4	3/4	0											43
43	43	117	126	3.0	1	3/4	3/4	0					line						44
44	44	120	129	3.0	1	3/4	3/4	0											45
45	45	123	132	3.0	1	3/4	3/4	0											46
46	46	126	135	3.0	1	3/4	3/4	0											47
47	47	129	138	3.0	1	3/4	3/4	0											48
48	48	132	141	3.0	1	3/4	3/4	0											49
49	49	135	144	3.0	1	3/4	3/4	0											50
50	50	138	147	3.0	1	3/4	3/4	0											51
51	51	141	150	3.0	1	3/4	3/4	0											52
52	52		153	3.0	1	3/4	3/4	0	1										53
53	53		156	3.0	1	3/4	3/4	0	1										54
54	54		159	3.0	1	3/4	3/4	0	1										55
55	55		162	3.0	1	3/4	3/4	0	1					end					12, 56
56	56		165	3.0	1	3/4	3/4	0	1										57
57	57	144	168	3.0	1	3/4	3/4	0											58
58	58	147	171	1.0	1	3/4	1/4	0				double	page						59
59	59	148	172	2.0	4	3/4	1/2	1/4											60
60	60	150	174	3.0	4	3/4	3/4	0											61
61	61	153	177	3.0	4	3/4	3/4	0											62
62	62	156	180	3.0	4	3/4	3/4	0											63
63	63	159	183	3.0	4	3/4	3/4	0											64
64	64	162	186	3.0	4	3/4	3/4	0											65
65	65	165	189	3.0	4	3/4	3/4	0					line						66
66	66	168	192	3.0	4	3/4	3/4	0											67
67	67	171	195	3.0	4	3/4	3/4	0											68
68	68	174	198	3.0	4	3/4	3/4	0											69
69	69	177	201	3.0	4	3/4	3/4	0											70
70	70	180	204	3.0	4	3/4	3/4	0											71
71	71	183	207	3.0	4	3/4	3/4	0					line						72
72	72	186	210	3.0	4	3/4	3/4	0											73
73	73	189	213	3.0	4	3/4	3/4	0											74
74	74	192	216	3.0	4	3/4	3/4	0											75
75	75	195	219	3.0	4	3/4	3/4	0											76
76	76	198	222	3.0	4	3/4	3/4	0											77
77	77	201	225	3.0	4	3/4	3/4	0					line						78
78	78	204	228	3.0	4	3/4	3/4	0											79
79	79	207	231	3.0	4	3/4	3/4	0											80
80	80	210	234	3.0	4	3/4	3/4	0											81
81	81	213	237	3.0	4	3/4	3/4	0											82
82	82	216	240	3.0	4	3/4	3/4	0											83
83	83	219	243	3.0	4	3/4	3/4	0					line						84
84	84	222	246	3.0	4	3/4	3/4	0											85
85	85	225	249	3.0	4	3/4	3/4	0											86
86	86	228	252	3.0	4	3/4	3/4	0											87
87	87	231	255	3.0	4	3/4	3/4	0											88
88	88	234	258	3.0	4	3/4	3/4	0											89
89	89	237	261	3.0	4	3/4	3/4	0											90
90	90	240	264	3.0	4	3/4	3/4	0					page						91
91	91	243	267	3.0	4	3/4	3/4	0											92
92	92	246	270	3.0	4	3/4	3/4	0											93
93	93	249	273	3.0	4	3/4	3/4	0											94
94	94	252	276	3.0	4	3/4	3/4	0											95
95	95	255	279	3.0	4	3/4	3/4	0											96
96	96	258	282	3.0	4	3/4	3/4	0											97
97	97	261	285	3.0	4	3/4	3/4	0											98
98	98	264	288	3.0	4	3/4	3/4	0											99
99	99	267	291	3.0	4	3/4	3/4	0					line						100
100	100	270	294	3.0	4	3/4	3/4	0											101
101	101	273	297	3.0	4	3/4	3/4	0											102
102	102	276	300	3.0	4	3/4	3/4	0											103
103	103	279	303	3.0	4	3/4	3/4	0											104
104	104	282	306	3.0	4	3/4	3/4	0											105
105	105	285	309	3.0	4	3/4	3/4	0											106
106	106	288	312	3.0	4	3/4	3/4	0											107
107	107	291	315	3.0	4	3/4	3/4	0											108
108	108	294	318	3.0	4	3/4	3/4	0					line						109
109	109	297	321	3.0	4	3/4	3/4	0											110
110	110	300	324	3.0	4	3/4	3/4	0											111
111	111	303	327	3.0	4	3/4	3/4	0											112
112	112	306	330	3.0	4	3/4	3/4	0											113
113	113	309	333	3.0	4	3/4	3/4	0											114
114	114	312	336	3.0	4	3/4	3/4	0											115
115	115	315	339	3.0	4	3/4	3/4	0											116
116	116	318	342	3.0	4	3/4	3/4	0											117
117	117	321	345	3.0	4	3/4	3/4	0											118
118	118	324	348	3.0	4	3/4	3/4	0											119
119	119	327	351	3.0	4	3/4	3/4	0					line						120
120	120	330	354	3.0	4	3/4	3/4	0											121
121	121	333	357	3.0	4	3/4	3/4	0											122
122	122	336	360	3.0	4	3/4	3/4	0											123
123	123	339	363	3.0	4	3/4	3/4	0											124
124	124	342	366	3.0	4	3/4	3/4	0											125
125	125	345	369	3.0	4	3/4	3/4	0											126
126	126	348	372	3.0	4	3/4	3/4	0											127
127	127	351	375	3.0	4	3/4	3/4	0											128
128	128	354	378	3.0	4	3/4	3/4	0											129
129	129	357	381	3.0	4	3/4	3/4	0											130
130	130	360	384	3.0	4	3/4	3/4	0											131
131	131	363	387	3.0	4	3/4	3/4	0											132
132	132	366	390	3.0	4	3/4	3/4	0					line						133
133	133	369	393	3.0	4	3/4	3/4	0											134
134	134	372	396	3.0	4	3/4	3/4	0											135
135	135	375	399	3.0	4	3/4	3/4	0											136
136	136	378	402	3.0	4	3/4	3/4	0											137
137	137	381	405	3.0	4	3/4	3/4	0											138
138	138	384	408	3.0	4	3/4	3/4	0											139
139	139	387	411	3.0	4	3/4	3/4	0											140
140	140	390	414	3.0	4	3/4	3/4	0											141
141	141	393	417	3.0	4	3/4	3/4	0											142
142	142	396	420	3.0	4	3/4	3/4	0				end		lastMeasure		start		end	1
