mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-4	12/8	1/2	1						firstMeasure	2
2	2	-4	12/8	3/2	0							3
3	3	-4	12/8	3/2	0							4
4	4	-4	12/8	3/2	0					line		5
5	5	-4	12/8	3/2	0							6
6	6	-4	12/8	3/2	0							7
7	7	-4	12/8	3/2	0					line		8
8	8	-4	12/8	3/2	0							9
9	9	-4	12/8	3/2	0							10
10	10	-4	12/8	3/2	0					line		11
11	11	-4	12/8	3/2	0							12
12	12	-4	12/8	3/2	0							13
13	13	-4	12/8	3/2	0					page		14
14	14	-4	12/8	3/2	0							15
15	15	-4	12/8	3/2	0							16
16	16	-4	12/8	3/2	0					line		17
17	17	-4	12/8	3/2	0							18
18	18	-4	12/8	3/2	0							19
19	19	-4	12/8	3/2	0					line		20
20	20	-4	12/8	3/2	0							21
21	21	-4	12/8	1	0				double			22
22	22	-4	12/8	1/2	1							23
23	23	-4	12/8	3/2	0					line		24
24	24	-4	12/8	3/2	0							25
25	25	-4	12/8	3/2	0					page		26
26	26	-4	12/8	3/2	0							27
27	27	-4	12/8	3/2	0					line		28
28	28	-4	12/8	3/2	0							29
29	29	-4	12/8	3/2	0					line		30
30	30	-4	12/8	3/2	0							31
31	31	-4	12/8	3/2	0					line		32
32	32	-4	12/8	3/2	0							33
33	33	-4	12/8	3/2	0					page		34
34	34	-4	12/8	3/2	0							35
35	35	-4	12/8	3/2	0					line		36
36	36	-4	12/8	3/2	0							37
37	37	-4	12/8	3/2	0					line		38
38	38	-4	12/8	3/2	0							39
39	39	-4	12/8	3/2	0					line		40
40	40	-4	12/8	7/8	0				double			41
41	41	-4	4/4	3/8	5/8							42
42	42	-4	4/4	1	0					page		43
43	43	-4	4/4	1	0							44
44	44	-4	4/4	1	0					line		45
45	45	-4	4/4	1	0					line		46
46	46	-4	4/4	1	0					line		47
47	47	-4	4/4	1	0					page		48
48	48	-4	4/4	1	0					line		49
49	49	-4	4/4	1	0					line		50
50	50	-4	4/4	1	0							51
51	51	-4	4/4	1	0					line		52
52	52	-4	4/4	1	0							53
53	53	-4	4/4	1	0					page		54
54	54	-4	4/4	1	0					line		55
55	55	-4	4/4	1	0					line		56
56	56	-4	4/4	1	0					line		57
57	57	-4	4/4	1	0					page		58
58	58	-4	4/4	1	0					line		59
59	59	-4	4/4	1	0					line		60
60	60	-4	4/4	1	0					line		61
61	61	-4	4/4	1	0				double			62
62	62	4	2/2	1	0							63
63	63	4	2/2	1	0					page		64
64	64	4	2/2	1	0							65
65	65	4	2/2	1	0							66
66	66	4	2/2	1	0							67
67	67	4	2/2	1	0					line		68
68	68	4	2/2	1	0							69
69	69	4	2/2	1	0							70
70	70	4	2/2	1	0							71
71	71	4	2/2	1	0							72
72	72	4	2/2	1	0					line		73
73	73	4	2/2	1	0							74
74	74	4	2/2	1	0							75
75	75	4	2/2	1	0							76
76	76	4	2/2	1	0					page		77
77	77	4	2/2	1	0							78
78	78	4	2/2	1	0							79
79	79	4	2/2	1/2	0				double			80
80	80	4	12/8	3/4	3/4					line		81
81	81	4	12/8	3/2	0							82
82	82	-4	12/8	3/2	0					line		83
83	83	-4	12/8	3/2	0							84
84	84	-4	12/8	3/2	0					page		85
85	85	-4	12/8	3/2	0							86
86	86	-4	12/8	3/2	0					line		87
87	87	-4	12/8	3/2	0							88
88	88	-4	12/8	3/2	0					line		89
89	89	-4	12/8	3/2	0							90
90	90	-4	12/8	3/2	0					line		91
91	91	-4	12/8	3/2	0							92
92	92	-4	12/8	3/2	0					page		93
93	93	-4	12/8	3/2	0							94
94	94	-4	12/8	3/2	0					line		95
95	95	-4	12/8	3/2	0							96
96	96	-4	12/8	3/2	0					line		97
97	97	-4	12/8	3/2	0							98
98	98	-4	12/8	3/2	0					line		99
99	99	-4	12/8	3/2	0							100
100	100	-4	12/8	3/2	0							101
101	101	-4	12/8	3/2	0					page		102
102	102	-4	12/8	3/2	0							103
103	103	-4	12/8	3/2	0				double			104
104	104	4	12/8	3/2	0					line		105
105	105	4	12/8	3/2	0							106
106	106	4	12/8	3/2	0							107
107	107	4	12/8	3/2	0					line		108
108	108	4	12/8	3/2	0							109
109	109	4	12/8	3/2	0							110
110	110	4	12/8	3/2	0				double	line		111
111	111	-4	12/8	3/2	0							112
112	112	-4	12/8	3/2	0					page		113
113	113	-4	12/8	3/2	0					line		114
114	114	-4	12/8	3/2	0					line		115
115	115	-4	12/8	3/2	0					line		116
116	116	-4	12/8	3/2	0							117
117	117	-4	12/8	3/2	0					page		118
118	118	-4	12/8	3/2	0					line		119
119	119	-4	12/8	3/2	0					line		120
120	120	-4	12/8	3/2	0					page		121
121	121	-4	12/8	3/2	0							122
122	122	-4	12/8	3/2	0					line		123
123	123	-4	12/8	3/2	0							124
124	124	-4	12/8	3/2	0					line		125
125	125	-4	12/8	3/2	0							126
126	126	-4	12/8	3/2	0							127
127	127	-4	12/8	3/2	0					line		128
128	128	-4	12/8	3/2	0					page		129
129	129	-4	12/8	3/2	0							130
130	130	-4	12/8	3/2	0				end	page	lastMeasure	-1
