mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0		0	0	6/8	4	1	1/4			1/4	1		4	52	E3	3	6
1	1	0	0	1.0		0	0	6/8	3	1	1/4			1/4	1		5	59	B3	3	4
1	1	0	0	1.0		0	0	6/8	1	1	1/4			1/4	1		4	64	E4	4	0
1	1	0	0	1.0		0	0	6/8	3	1	1/4			1/4	1		4	64	E4	4	4
1	1	0	0	1.0		0	0	6/8	2	1	1/4			1/4	1		1	67	G4	4	2
1	1	0	0	1.0		0	0	6/8	1	1	1/4			1/4	1		5	71	B4	4	0
1	1	0	0	1.0		0	0	6/8	2	1	1/4			1/4	1		5	71	B4	4	2
1	1	0	0	1.0		0	0	6/8	1	1	1/4			1/4	1		4	76	E5	5	0
1	1	0	0	1.0		0	0	6/8	2	1	1/4			1/4	1		4	76	E5	5	2
1	1	3/2	3/2	1.0		3/8	3/8	6/8	4	1	1/4			1/4	1		9	51	D#3	3	7
1	1	3/2	3/2	1.0		3/8	3/8	6/8	3	1	1/4			1/4	1		5	59	B3	3	5
1	1	3/2	3/2	1.0		3/8	3/8	6/8	3	1	1/4			1/4	1		6	66	F#4	4	5
1	1	3/2	3/2	1.0		3/8	3/8	6/8	1	1	1/4			1/4	1		5	71	B4	4	1
1	1	3/2	3/2	1.0		3/8	3/8	6/8	2	1	1/4			1/4	1		5	71	B4	4	3
1	1	3/2	3/2	1.0		3/8	3/8	6/8	2	1	1/4			1/4	1		6	78	F#5	5	3
1	1	3/2	3/2	1.0		3/8	3/8	6/8	1	1	1/4			1/4	1		5	83	B5	5	1
3	3	6	6	0.5		0	0	6/8	4	1	1/8			1/8	1		4	52	E3	3	13
3	3	6	6	0.5		0	0	6/8	1	1	1/8			1/8	1		4	64	E4	4	8
3	3	13/2	13/2	0.5		1/8	1/8	6/8	4	1	1/8			1/8	1		5	47	B2	2	14
3	3	13/2	13/2	0.5		1/8	1/8	6/8	1	1	1/8			1/8	1		5	59	B3	3	9
3	3	7	7	0.5		1/4	1/4	6/8	4	1	1/8			1/8	1		1	55	G3	3	15
3	3	7	7	0.5		1/4	1/4	6/8	1	1	1/8			1/8	1		1	67	G4	4	10
3	3	15/2	15/2	1.5		3/8	3/8	6/8	2	1	3/8			1/4	3/2		5	59	B3	3	12
3	3	15/2	15/2	1.5		3/8	3/8	6/8	4	1	3/8			1/4	3/2	1	5	59	B3	3	16
3	3	15/2	15/2	1.5		3/8	3/8	6/8	1	1	3/8			1/4	3/2	1	5	71	B4	4	11
4	4	9	9	1.5		0	0	6/8	3	1	3/8			1/4	3/2		6	54	F#3	3	26
4	4	9	9	1.5		0	0	6/8	2	1	3/8			1/4	3/2		3	57	A3	3	24
4	4	9	9	1.0		0	0	6/8	4	1	1/4			1/4	1	-1	5	59	B3	3	28
4	4	9	9	0.25		0	0	6/8	1	1	1/16			1/16	1	-1	5	71	B4	4	17
4	4	37/4	37/4	0.25		1/16	1/16	6/8	1	1	1/16			1/16	1		0	72	C5	5	18
4	4	19/2	19/2	0.25		1/8	1/8	6/8	1	1	1/16			1/16	1		3	69	A4	4	19
4	4	39/4	39/4	0.25		3/16	3/16	6/8	1	1	1/16			1/16	1		6	66	F#4	4	20
4	4	10	10	0.5		1/4	1/4	6/8	4	1	1/8			1/8	1		5	47	B2	2	29
4	4	10	10	0.25		1/4	1/4	6/8	1	1	1/16			1/16	1		9	63	D#4	4	21
4	4	41/4	41/4	0.25		5/16	5/16	6/8	1	1	1/16			1/16	1		5	59	B3	3	22
