mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	1/2	0.5		1/8	1/8	2/4	4	1	1/8		1/8	1		3	45	A2	2	5
1	0	1/2	1.5		1/8	1/8	2/4	3	1	3/8		1/4	3/2	1	4	52	E3	3	4
1	0	1/2	1.5		1/8	1/8	2/4	2	1	3/8		1/4	3/2		7	61	C#4	4	3
1	0	1/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		3	69	A4	4	0
1	0	1	0.5		1/4	1/4	2/4	4	1	1/8		1/8	1		3	45	A2	2	6
1	0	3/2	0.5		3/8	3/8	2/4	4	1	1/8		1/8	1		3	45	A2	2	7
1	0	3/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		5	71	B4	4	1
1	0	7/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	2
2	1	2	2.0		0	0	2/4	3	1	1/2		1/2	1	0	4	52	E3	3	13
2	1	2	0.5		0	0	2/4	2	1	1/8		1/8	1		2	62	D4	4	9
2	1	2	0.5		0	0	2/4	1	1	1/8		1/8	1		8	68	G#4	4	8
2	1	5/2	0.5		1/8	1/8	2/4	4	1	1/8		1/8	1		5	47	B2	2	14
2	1	5/2	1.0		1/8	1/8	2/4	2	1	1/4		1/4	1		8	68	G#4	4	10
2	1	3	0.5		1/4	1/4	2/4	4	1	1/8		1/8	1		5	47	B2	2	15
2	1	7/2	0.5		3/8	3/8	2/4	4	1	1/8		1/8	1		5	47	B2	2	16
2	1	7/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		3	69	A4	4	11
2	1	15/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		8	68	G#4	4	12
3	2	4	2.0		0	0	2/4	3	1	1/2		1/2	1	0	4	52	E3	3	22
3	2	4	0.5		0	0	2/4	2	1	1/8		1/8	1		2	74	D5	5	20
3	2	9/2	0.5		1/8	1/8	2/4	4	1	1/8		1/8	1		8	44	G#2	2	23
3	2	9/2	1.5		1/8	1/8	2/4	2	1	3/8		1/4	3/2		5	59	B3	3	21
3	2	9/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		2	74	D5	5	17
3	2	5	0.5		1/4	1/4	2/4	4	1	1/8		1/8	1		8	44	G#2	2	24
3	2	11/2	0.5		3/8	3/8	2/4	4	1	1/8		1/8	1		8	44	G#2	2	25
3	2	11/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		4	76	E5	5	18
3	2	23/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		2	74	D5	5	19
4	3	6	2.0		0	0	2/4	3	1	1/2		1/2	1	0	4	52	E3	3	31
4	3	6	0.5		0	0	2/4	2	1	1/8		1/8	1		3	57	A3	3	27
4	3	6	0.5		0	0	2/4	1	1	1/8		1/8	1		7	73	C#5	5	26
4	3	13/2	0.5		1/8	1/8	2/4	4	1	1/8		1/8	1		3	45	A2	2	32
4	3	13/2	1.0		1/8	1/8	2/4	2	1	1/4		1/4	1		7	73	C#5	5	28
4	3	7	0.5		1/4	1/4	2/4	4	1	1/8		1/8	1		3	45	A2	2	33
4	3	15/2	0.5		3/8	3/8	2/4	4	1	1/8		1/8	1		3	45	A2	2	34
4	3	15/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		2	74	D5	5	29
4	3	31/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		7	73	C#5	5	30
5	4	8	1.0		0	0	2/4	3	1	1/4		1/4	1	-1	4	52	E3	3	39
5	4	8	1.0		0	0	2/4	2	1	1/4		1/4	1		3	81	A5	5	38
5	4	17/2	0.5		1/8	1/8	2/4	4	1	1/8		1/8	1		7	37	C#2	2	41
5	4	17/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		3	81	A5	5	35
5	4	9	0.5		1/4	1/4	2/4	4	1	1/8		1/8	1		7	37	C#2	2	42
5	4	9	1.0		1/4	1/4	2/4	3	1	1/4		1/4	1	1	3	57	A3	3	40
5	4	19/2	0.5		3/8	3/8	2/4	4	1	1/8		1/8	1		7	37	C#2	2	43
5	4	19/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		1	79	G5	5	36
5	4	39/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		11	77	E#5	5	37
6	5	10	0.5		0	0	2/4	3	1	1/8		1/8	1	-1	3	57	A3	3	49
6	5	10	0.5		0	0	2/4	1	1	1/8		1/8	1		11	77	E#5	5	44
6	5	21/2	0.5		1/8	1/8	2/4	4	1	1/8		1/8	1		2	38	D2	2	51
6	5	21/2	1.5		1/8	1/8	2/4	3	1	3/8		1/4	3/2	1	6	54	F#3	3	50
6	5	21/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		6	78	F#5	5	45
6	5	21/2	1.0		1/8	1/8	2/4	2	1	1/4		1/4	1		6	78	F#5	5	46
6	5	11	0.5		1/4	1/4	2/4	4	1	1/8		1/8	1		10	46	A#2	2	52
6	5	23/2	0.5		3/8	3/8	2/4	4	1	1/8		1/8	1		10	46	A#2	2	53
6	5	23/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		4	76	E5	5	47
6	5	47/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		7	73	C#5	5	48
7	6	12	0.5		0	0	2/4	4	1	1/8		1/8	1		5	47	B2	2	66
7	6	12	0.5		0	0	2/4	3	1	1/8		1/8	1	-1	6	54	F#3	3	62
7	6	12	0.5		0	0	2/4	2	1	1/8		1/8	1		9	75	D#5	5	57
7	6	25/2	0.5		1/8	1/8	2/4	4	1	1/8		1/8	1		4	40	E2	2	67
7	6	25/2	0.5		1/8	1/8	2/4	3	1	1/8		1/8	1		8	56	G#3	3	63
7	6	25/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		5	59	B3	3	58
7	6	25/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		4	76	E5	5	54
7	6	51/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		2	74	D5	5	55
7	6	13	0.5		1/4	1/4	2/4	4	1	1/8		1/8	1		3	45	A2	2	68
7	6	13	0.5		1/4	1/4	2/4	3	1	1/8		1/8	1		3	57	A3	3	64
7	6	13	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		7	61	C#4	4	59
7	6	13	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		7	73	C#5	5	56
7	6	27/2	0.5		3/8	3/8	2/4	4	1	1/8		1/8	1		6	42	F#2	2	69
7	6	27/2	0.5		3/8	3/8	2/4	3	1	1/8		1/8	1		9	51	D#3	3	65
7	6	27/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		5	71	B4	4	60
7	6	55/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		3	69	A4	4	61
8	7	14	0.5		0	0	2/4	4	1	1/8		1/8	1		4	40	E2	2	77
8	7	14	0.5		0	0	2/4	3	1	1/8		1/8	1		4	52	E3	3	76
8	7	14	0.5		0	0	2/4	2	1	1/8		1/8	1		8	68	G#4	4	73
8	7	29/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		6	66	F#4	4	70
8	7	59/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		4	64	E4	4	71
8	7	15	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		9	63	D#4	4	72
8	7	31/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		2	62	D4	4	74
8	7	63/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		5	59	B3	3	75
9	8	16	2.0		0	0	2/4	3	1	1/2		1/2	1		4	52	E3	3	82
9	8	16	0.5		0	0	2/4	2	1	1/8		1/8	1		3	57	A3	3	78
9	8	16	2.0		0	0	2/4	3	1	1/2		1/2	1		7	61	C#4	4	82
9	8	33/2	0.5		1/8	1/8	2/4	4	1	1/8		1/8	1		3	45	A2	2	83
9	8	33/2	0.5		1/8	1/8	2/4	4	1	1/8		1/8	1		4	52	E3	3	83
9	8	33/2	1.0		1/8	1/8	2/4	2	1	1/4		1/4	1		3	57	A3	3	79
9	8	17	0.5		1/4	1/4	2/4	4	1	1/8		1/8	1		3	45	A2	2	84
9	8	17	0.5		1/4	1/4	2/4	4	1	1/8		1/8	1		4	52	E3	3	84
9	8	35/2	0.5		3/8	3/8	2/4	4	1	1/8		1/8	1		3	45	A2	2	85
9	8	35/2	0.5		3/8	3/8	2/4	4	1	1/8		1/8	1		4	52	E3	3	85
9	8	35/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		5	59	B3	3	80
9	8	71/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		3	57	A3	3	81
10	9	18	2.0		0	0	2/4	3	1	1/2		1/2	1		4	52	E3	3	90
