mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.5	0	0	2/4	4	1	Eb.I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	2	2	2a	5/2	5/2	1.5	1/8	1/8	2/4	4	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	3	3	3a	4	4	2.5	0	0	2/4	4	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
4	4	4	4a	13/2	13/2	1.5	1/8	1/8	2/4	4	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
5	5	5	5a	8	8	1.0	0	0	2/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	5	5a	9	9	1.0	1/4	1/4	2/4	4	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
6	6	6	6a	10	10	2.0	0	0	2/4	4	1	IV\\	Eb	I		IV		IV						\\	M	0	0	-1, 3, 0		-1	-1
7	7	7	7a	12	12	1.0	0	0	3/4	4	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	7	7	7a	13	13	1.0	1/4	1/4	3/4	4	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
7	7	7	7a	14	14	1.0	1/2	1/2	3/4	4	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
8	8	8	8a	15	15	2.0	0	0	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	8	8	8a	17	17	1.0	1/2	1/2	3/4	4	1	vi64	Eb	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
9	9	9	9a	18	18	2.0	0	0	3/4	4	1	ii7	Eb	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
9	9	9	9a	20	20	1.0	1/2	1/2	3/4	4	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	10	10	10a	21	21	1.0	0	0	3/4	4	1	I6(7)	Eb	I		I6(7)		I		6	7				M	0	0	4, 1, 5		0	4
10	10	10	10a	22	22	1.0	1/4	1/4	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	10	10a	23	23	1.0	1/2	1/2	3/4	4	1	@none	Eb	I		@none		@none							m	0	0				
11	11	11	11a	24	24	1.0	0	0	3/4	4	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
11	11	11	11a	25	25	1.0	1/4	1/4	3/4	4	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
11	11	11	11a	26	26	1.0	1/2	1/2	3/4	4	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
12	12	12	12a	27	27	1.0	0	0	3/4	4	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
12	12	12	12a	28	28	1.0	1/4	1/4	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
12	12	12	12a	29	29	1.0	1/2	1/2	3/4	4	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
13	13	13	13a	30	30	1.0	0	0	3/4	4	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	13	13a	31	31	1.0	1/4	1/4	3/4	4	1	ii43	Eb	I		ii43		ii		43					mm7	0	0	3, 0, 2, -1		2	3
13	13	13	13a	32	32	0.5	1/2	1/2	3/4	4	1	IV6	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
13	13	13	13a	65/2	65/2	0.5	5/8	5/8	3/4	4	1	viio	Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
14	14	14	14a	33	33	1.0	0	0	3/4	4	1	I\\	Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
14	14	14	14a	34	34	1.0	1/4	1/4	3/4	4	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	14	14	14a	35	35	1.0	1/2	1/2	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	15	15a	36	36	2.0	0	0	3/4	4	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
15	15	15	15a	38	38	1.0	1/2	1/2	3/4	4	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
16	16	16	16a	39	39	2.0	0	0	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
16	16	16	16a	41	41	1.0	1/2	1/2	3/4	4	1	vi64	Eb	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
17	17	17	17a	42	42	3.0	0	0	3/4	4	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
18	18	18	18a	45	45	1.0	0	0	3/4	4	1	I6(4)	Eb	I		I6(4)		I		6	4				M	0	0	-1, 1, 0		0	-1
18	18	18	18a	46	46	1.0	1/4	1/4	3/4	4	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
18	18	18	18a	47	47	1.0	1/2	1/2	3/4	4	1	I+6	Eb	I		I+6		I	+	6					+	0	0	4, 8, 0		0	4
19	19	19	19a	48	48	1.0	0	0	3/4	4	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
