mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	1.5	0	0	3/8	4	1	G.I	G	I		I	I							M	0	0	0, 4, 1		0	0
2	2	2	2a	3/2	3/2	1.5	0	0	3/8	4	1	vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
3	3	3	3a	3	3	1.5	0	0	3/8	4	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	4	4a	9/2	9/2	0.5	0	0	3/8	4	1	V7(4)	G	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
4	4	4	4a	5	5	1.0	1/8	1/8	3/8	4	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	5	5a	6	6	1.5	0	0	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
6	6	6	6a	15/2	15/2	1.5	0	0	3/8	4	1	vi64	G	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
7	7	7	7a	9	9	0.5	0	0	3/8	4	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	7	7a	19/2	19/2	0.5	1/8	1/8	3/8	4	1	ii	G	I		ii	ii							m	0	0	2, -1, 3		2	2
7	7	7	7a	10	10	1.0	1/4	1/4	3/8	4	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	8	8a	11	11	1.0	1/8	1/8	3/8	4	1	I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
1	1	9	1b	12	0	1.5	0	0	3/8	4	1	G.I	G	I		I	I							M	0	0	0, 4, 1		0	0
2	2	10	2b	27/2	3/2	1.5	0	0	3/8	4	1	vi	G	I		vi	vi							m	0	0	3, 0, 4		3	3
3	3	11	3b	15	3	1.5	0	0	3/8	4	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	12	4b	33/2	9/2	0.5	0	0	3/8	4	1	V7(4)	G	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
4	4	12	4b	17	5	1.0	1/8	1/8	3/8	4	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	13	5b	18	6	1.5	0	0	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
6	6	14	6b	39/2	15/2	1.5	0	0	3/8	4	1	vi64	G	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
7	7	15	7b	21	9	0.5	0	0	3/8	4	1	ii6	G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	15	7b	43/2	19/2	0.5	1/8	1/8	3/8	4	1	ii	G	I		ii	ii							m	0	0	2, -1, 3		2	2
7	7	15	7b	22	10	1.0	1/4	1/4	3/8	4	1	V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	16	8b	23	11	1.0	1/8	1/8	3/8	4	1	I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
9	9	17	9a	24	12	0.5	0	0	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
9	9	17	9a	49/2	25/2	0.5	1/8	1/8	3/8	4	1	V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
9	9	17	9a	25	13	0.5	1/4	1/4	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
10	10	18	10a	51/2	27/2	1.5	0	0	3/8	4	1	V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
11	11	19	11a	27	15	1.5	0	0	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
12	12	20	12a	57/2	33/2	1.0	0	0	3/8	4	1	V	G	I		V	V							M	0	0	1, 5, 2		1	1
12	12	20	12a	59/2	35/2	0.5	1/4	1/4	3/8	4	1	V2	G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
13	13	21	13a	30	18	0.5	0	0	3/8	4	1	I6	G	I		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	21	13a	61/2	37/2	0.5	1/8	1/8	3/8	4	1	V43	G	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
13	13	21	13a	31	19	0.5	1/4	1/4	3/8	4	1	I	G	I		I	I							M	0	0	0, 4, 1		0	0
14	14	22	14a	63/2	39/2	0.5	0	0	3/8	4	1	V6	G	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	14	22	14a	32	20	0.5	1/8	1/8	3/8	4	1	vi7	G	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
